# m1,m0,ms,tau,lambdauv,chxx10,ychi1,ychi10,sina,eff,efferror
9.950e+02,8.950e+02,2.000e+03,1.334e-07,8.511e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.790e-02,6.688e-04
9.798e+02,8.798e+02,2.000e+03,3.317e-09,1.342e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.268e-02,6.314e-04
9.798e+02,8.798e+02,2.000e+03,1.658e-08,3.000e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.489e-01,1.178e-03
9.798e+02,8.798e+02,2.000e+03,3.317e-08,4.242e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.208e-01,1.062e-03
9.798e+02,8.798e+02,2.000e+03,6.634e-08,5.999e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.153e-02,8.713e-04
9.798e+02,8.798e+02,2.000e+03,1.327e-07,8.484e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.801e-02,6.699e-04
2.487e+02,4.875e+01,5.000e+02,3.338e-09,3.423e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.743e-02,8.653e-04
2.487e+02,4.875e+01,5.000e+02,1.669e-08,7.654e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.208e-01,1.257e-03
2.487e+02,4.875e+01,5.000e+02,3.338e-08,1.082e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.412e-02,1.107e-03
2.487e+02,4.875e+01,5.000e+02,6.675e-08,1.531e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.336e-02,9.088e-04
2.487e+02,4.875e+01,5.000e+02,1.335e-07,2.165e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.676e-02,6.927e-04
2.449e+02,4.495e+01,5.000e+02,3.336e-09,3.340e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.334e-02,6.546e-04
2.449e+02,4.495e+01,5.000e+02,1.668e-08,7.468e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.456e-02,1.102e-03
2.449e+02,4.495e+01,5.000e+02,3.336e-08,1.056e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.060e-02,1.017e-03
2.449e+02,4.495e+01,5.000e+02,6.671e-08,1.494e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.814e-02,8.636e-04
2.449e+02,4.495e+01,5.000e+02,1.334e-07,2.112e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.329e-02,6.531e-04
4.975e+02,2.975e+02,1.000e+03,3.336e-09,6.000e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.667e-02,7.919e-04
4.975e+02,2.975e+02,1.000e+03,1.668e-08,1.342e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.439e-01,1.261e-03
4.975e+02,2.975e+02,1.000e+03,3.336e-08,1.897e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.164e-01,1.135e-03
4.975e+02,2.975e+02,1.000e+03,6.671e-08,2.683e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.673e-02,9.208e-04
4.975e+02,2.975e+02,1.000e+03,1.334e-07,3.795e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.317e-02,6.924e-04
4.899e+02,2.899e+02,1.000e+03,3.336e-09,5.961e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.493e-02,7.033e-04
4.899e+02,2.899e+02,1.000e+03,1.668e-08,1.333e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.299e-01,1.196e-03
4.899e+02,2.899e+02,1.000e+03,3.336e-08,1.885e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.060e-01,1.081e-03
4.899e+02,2.899e+02,1.000e+03,6.671e-08,2.666e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.403e-02,9.013e-04
