# Values for variable: $\Delta R (b_2,\bar{b}_2)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
6.3131e+00,6.2626e+00,6.3636e+00,2.5732e-05,2.5732e-05
6.4141e+00,6.3636e+00,6.4646e+00,7.7196e-05,4.4569e-05
6.5152e+00,6.4646e+00,6.5657e+00,0.0000e+00,0.0000e+00
6.6162e+00,6.5657e+00,6.6667e+00,2.5732e-05,2.5732e-05
6.7172e+00,6.6667e+00,6.7677e+00,2.5732e-05,2.5732e-05
6.8182e+00,6.7677e+00,6.8687e+00,5.1464e-05,3.6391e-05
6.9192e+00,6.8687e+00,6.9697e+00,2.5732e-05,2.5732e-05
7.0202e+00,6.9697e+00,7.0707e+00,2.5732e-05,2.5732e-05
7.1212e+00,7.0707e+00,7.1717e+00,0.0000e+00,0.0000e+00
7.2222e+00,7.1717e+00,7.2727e+00,0.0000e+00,0.0000e+00
7.3232e+00,7.2727e+00,7.3737e+00,2.5732e-05,2.5732e-05
7.4242e+00,7.3737e+00,7.4747e+00,0.0000e+00,0.0000e+00
7.5253e+00,7.4747e+00,7.5758e+00,2.5732e-05,2.5732e-05
7.6263e+00,7.5758e+00,7.6768e+00,2.5732e-05,2.5732e-05
7.7273e+00,7.6768e+00,7.7778e+00,0.0000e+00,0.0000e+00
7.8283e+00,7.7778e+00,7.8788e+00,0.0000e+00,0.0000e+00
7.9293e+00,7.8788e+00,7.9798e+00,0.0000e+00,0.0000e+00
8.0303e+00,7.9798e+00,8.0808e+00,0.0000e+00,0.0000e+00
8.1313e+00,8.0808e+00,8.1818e+00,0.0000e+00,0.0000e+00
8.2323e+00,8.1818e+00,8.2828e+00,0.0000e+00,0.0000e+00
8.3333e+00,8.2828e+00,8.3838e+00,0.0000e+00,0.0000e+00
8.4343e+00,8.3838e+00,8.4848e+00,0.0000e+00,0.0000e+00
8.5354e+00,8.4848e+00,8.5859e+00,0.0000e+00,0.0000e+00
8.6364e+00,8.5859e+00,8.6869e+00,0.0000e+00,0.0000e+00
8.7374e+00,8.6869e+00,8.7879e+00,0.0000e+00,0.0000e+00
8.8384e+00,8.7879e+00,8.8889e+00,0.0000e+00,0.0000e+00
8.9394e+00,8.8889e+00,8.9899e+00,0.0000e+00,0.0000e+00
9.0404e+00,8.9899e+00,9.0909e+00,0.0000e+00,0.0000e+00
9.1414e+00,9.0909e+00,9.1919e+00,0.0000e+00,0.0000e+00
9.2424e+00,9.1919e+00,9.2929e+00,0.0000e+00,0.0000e+00
9.3434e+00,9.2929e+00,9.3939e+00,0.0000e+00,0.0000e+00
9.4444e+00,9.3939e+00,9.4949e+00,0.0000e+00,0.0000e+00
9.5455e+00,9.4949e+00,9.5960e+00,0.0000e+00,0.0000e+00
9.6465e+00,9.5960e+00,9.6970e+00,0.0000e+00,0.0000e+00
9.7475e+00,9.6970e+00,9.7980e+00,0.0000e+00,0.0000e+00
9.8485e+00,9.7980e+00,9.8990e+00,0.0000e+00,0.0000e+00
9.9495e+00,9.8990e+00,1.0000e+01,0.0000e+00,0.0000e+00
