# Values for variable: $\Delta \phi (b_1,\bar{b}_1)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
2.7767e+00,2.7608e+00,2.7925e+00,1.6983e-02,6.6107e-04
2.8084e+00,2.7925e+00,2.8243e+00,1.8270e-02,6.8565e-04
2.8401e+00,2.8243e+00,2.8560e+00,1.7961e-02,6.7983e-04
2.8719e+00,2.8560e+00,2.8877e+00,1.8373e-02,6.8758e-04
2.9036e+00,2.8877e+00,2.9195e+00,1.7369e-02,6.6854e-04
2.9353e+00,2.9195e+00,2.9512e+00,1.7755e-02,6.7593e-04
2.9671e+00,2.9512e+00,2.9829e+00,1.6752e-02,6.5655e-04
2.9988e+00,2.9829e+00,3.0147e+00,1.8064e-02,6.8178e-04
3.0305e+00,3.0147e+00,3.0464e+00,1.8347e-02,6.8710e-04
3.0623e+00,3.0464e+00,3.0781e+00,1.8012e-02,6.8081e-04
3.0940e+00,3.0781e+00,3.1099e+00,1.8527e-02,6.9046e-04
3.1257e+00,3.1099e+00,3.1416e+00,1.9248e-02,7.0376e-04
