# ctau,m1,m0,ms,eff_lowet,eff_highet,eff_lowet_error,eff_highet_error
7.356e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
8.577e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.000e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
1.166e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
1.359e+00,8.570e+02,8.370e+02,1.750e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
1.585e+00,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e+00,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e+00,8.570e+02,8.370e+02,1.750e+03,6.078e-08,0.000e+00,3.953e-08,0.000e+00
2.512e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
2.929e+00,8.570e+02,8.370e+02,1.750e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
3.415e+00,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
4.642e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,8.570e+02,8.370e+02,1.750e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
6.310e+00,8.570e+02,8.370e+02,1.750e+03,3.849e-08,0.000e+00,2.222e-08,0.000e+00
7.356e+00,8.570e+02,8.370e+02,1.750e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
8.577e+00,8.570e+02,8.370e+02,1.750e+03,7.698e-08,0.000e+00,3.143e-08,0.000e+00
1.000e+01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.000e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.512e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
4.642e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
5.412e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.310e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
7.356e-01,9.790e+02,9.590e+02,2.000e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
8.577e-01,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.000e+00,9.790e+02,9.590e+02,2.000e+03,5.065e-08,0.000e+00,4.998e-08,0.000e+00
1.166e+00,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e+00,9.790e+02,9.590e+02,2.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e+00,9.790e+02,9.590e+02,2.000e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
1.848e+00,9.790e+02,9.590e+02,2.000e+03,2.135e-07,0.000e+00,1.658e-07,0.000e+00
2.154e+00,9.790e+02,9.590e+02,2.000e+03,6.781e-10,0.000e+00,6.781e-10,0.000e+00
2.512e+00,9.790e+02,9.590e+02,2.000e+03,2.303e-08,0.000e+00,1.639e-08,0.000e+00
2.929e+00,9.790e+02,9.590e+02,2.000e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
3.415e+00,9.790e+02,9.590e+02,2.000e+03,5.285e-08,0.000e+00,5.285e-08,0.000e+00
3.981e+00,9.790e+02,9.590e+02,2.000e+03,3.849e-08,0.000e+00,2.222e-08,0.000e+00
4.642e+00,9.790e+02,9.590e+02,2.000e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,9.790e+02,9.590e+02,2.000e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
6.310e+00,9.790e+02,9.590e+02,2.000e+03,5.132e-08,0.000e+00,2.566e-08,0.000e+00
7.356e+00,9.790e+02,9.590e+02,2.000e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
